,,"US dollar/
Dollar 
SAM

","Japanese Yen/
Yen na Seapáine
",Bulgarian lev/Lev na Bulgáire,"Czech Koruna/
Koruna na Seice
","Danish krone/
Coróin na Danmhairge","Estonian Kroon/
Kroon na hEastóine","Israeli Shekel/
Shekel Iosraelach","Pound Sterling/
Punt Steirling","Hungarian Forint/
Forint na hUngáire","Lithuanian Litas/
Litas na Liotuáine
","Latvian lats/
Lats na Laitvia","Polish Zloty/
Zloty na Polainne","New Romanian Leu /
Leu nua na Rómáine","Swedish Krona/
Coróin na Sualainne","Slovak Koruna/
Koruna Slovakian","Swiss Franc/
Franc na hEilvéise","Icelandic Krona/
Coróin na hÍoslainne
","Norwegian Krone/
Coróin na hIorua","Croatian Kuna/
Kuna na Cróite","Russian Rouble/
Rouble na Rúise","New Turkish Lira/
Lira nua na Tuirce","Australian dollar/
Dollar na hAstráile","Brasilian Real/
Real na Brasaíle","Canadian Dollar/
Dollar Cheanada","Chinese Yuan Renminbi/
Yuan Renminbi na Síne","Hong Kong Dollar/
Dollar Hong Kong","Indonesian Rupiah/
Rupiah na hIndinéise","Indian Rupee/
Rupee na hIndia","South Korean Won/
Won na Cóiré Theas","Mexican Peso/
Peso na Meicsiceo","Malaysian Ringgit/
Ringgit na Malaeisia","New Zealand Dollar/
Dollar na Nua-Shéalainne","Philippine Peso/
Peso na nOileán Filipíneach","Singapore Dollar/
Dollar Singeapóir","Thai Baht/
Baht na Téalainne","South African Rand/
Rand na hAfraice Theas"
,,USD,JPY,BGN,CZK,DKK,EEK,ILS,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
,4 Feb 16,1.1206,131.49,1.9558,27.021,7.4629,,4.3790,0.76595,310.49,,,4.4152,4.5087,9.4036,,1.1169,N/A,9.5375,7.6610,86.0790,3.2500,1.5546,4.3486,1.5366,7.3691,8.7277,15269.96,75.8600,1336.75,20.3101,4.6125,1.6678,53.366,1.5720,39.952,17.7670
,5 Feb 16,1.1202,130.71,1.9558,27.037,7.4629,,4.3415,0.76975,309.95,,,4.4134,4.5028,9.4325,,1.1101,N/A,9.5665,7.6540,86.0050,3.2498,1.5583,4.3454,1.5404,7.3624,8.7231,15177.38,75.7857,1333.89,20.3988,4.6528,1.6655,53.271,1.5636,39.778,17.7584
,8 Feb 16,1.1101,129.11,1.9558,27.062,7.4631,,4.3215,0.77240,310.69,,,4.4352,4.4798,9.4307,,1.1051,N/A,9.5885,7.6455,85.8419,3.2721,1.5726,4.3245,1.5487,7.2995,8.6481,15178.82,75.5245,1343.41,20.7145,4.6462,1.6802,53.084,1.5640,39.459,17.9885
,9 Feb 16,1.1236,129.07,1.9558,27.058,7.4635,,4.3655,0.77945,311.55,,,4.4530,4.4943,9.5142,,1.0997,N/A,9.6705,7.6420,88.3952,3.3154,1.6083,4.3741,1.5623,7.3924,8.7585,15307.42,76.4549,1356.24,21.1922,4.6880,1.7085,53.641,1.5767,39.829,18.1960
,10 Feb 16,1.1257,129.42,1.9558,27.031,7.4638,,4.3589,0.77328,311.62,,,4.4289,4.4830,9.5162,,1.0960,N/A,9.6195,7.6350,88.5600,3.2945,1.5848,4.3758,1.5601,7.4007,8.7686,15136.73,76.3844,1340.37,21.0652,4.6398,1.6916,53.388,1.5674,39.793,17.8379
,11 Feb 16,1.1347,127.30,1.9558,27.069,7.4638,,4.4151,0.78740,311.98,,,4.4485,4.4783,9.5188,,1.1027,N/A,9.7085,7.6391,90.8866,3.3217,1.6018,4.4836,1.5842,7.4592,8.8406,15286.39,77.6550,1362.83,21.6064,4.7033,1.6973,53.953,1.5774,39.995,17.9877
,12 Feb 16,1.1275,127.07,1.9558,27.063,7.4642,,4.3761,0.77735,310.13,,,4.4109,4.4741,9.4550,,1.0989,N/A,9.6773,7.6320,89.5851,3.3030,1.5901,4.5087,1.5698,7.4114,8.7816,15211.54,76.9418,1359.98,21.6852,4.6955,1.6965,53.561,1.5756,40.139,17.9194
,15 Feb 16,1.1180,127.60,1.9558,27.037,7.4638,,4.3482,0.77200,309.24,,,4.3945,4.4689,9.4862,,1.1009,N/A,9.6313,7.6200,86.3193,3.2908,1.5624,4.4567,1.5454,7.2606,8.7036,14947.90,76.1045,1352.15,21.0910,4.6224,1.6772,53.000,1.5643,39.818,17.6114
,16 Feb 16,1.1166,127.02,1.9558,27.029,7.4644,,4.3662,0.77580,310.75,,,4.4062,4.4613,9.4742,,1.1018,N/A,9.6049,7.6170,86.4489,3.3023,1.5605,4.4833,1.5430,7.2741,8.6950,14997.87,76.3985,1358.70,21.0457,4.6685,1.6931,53.050,1.5656,39.790,17.5669
,17 Feb 16,1.1136,127.10,1.9558,27.044,7.4645,,4.3471,0.77835,309.95,,,4.3979,4.4550,9.4723,,1.1034,N/A,9.5955,7.6173,85.1875,3.2961,1.5629,4.4866,1.5387,7.2685,8.6764,15019.19,76.2800,1368.24,20.8655,4.6939,1.6902,53.039,1.5703,39.678,17.4320
