,,"US dollar/
Dollar 
SAM

","Japanese Yen/
Yen na Seapáine
",Bulgarian lev/Lev na Bulgáire,"Czech Koruna/
Koruna na Seice
","Danish krone/
Coróin na Danmhairge","Estonian Kroon/
Kroon na hEastóine","Israeli Shekel/
Shekel Iosraelach","Pound Sterling/
Punt Steirling","Hungarian Forint/
Forint na hUngáire","Lithuanian Litas/
Litas na Liotuáine
","Latvian lats/
Lats na Laitvia","Polish Zloty/
Zloty na Polainne","New Romanian Leu /
Leu nua na Rómáine","Swedish Krona/
Coróin na Sualainne","Slovak Koruna/
Koruna Slovakian","Swiss Franc/
Franc na hEilvéise","Icelandic Krona/
Coróin na hÍoslainne
","Norwegian Krone/
Coróin na hIorua","Croatian Kuna/
Kuna na Cróite","Russian Rouble/
Rouble na Rúise","New Turkish Lira/
Lira nua na Tuirce","Australian dollar/
Dollar na hAstráile","Brasilian Real/
Real na Brasaíle","Canadian Dollar/
Dollar Cheanada","Chinese Yuan Renminbi/
Yuan Renminbi na Síne","Hong Kong Dollar/
Dollar Hong Kong","Indonesian Rupiah/
Rupiah na hIndinéise","Indian Rupee/
Rupee na hIndia","South Korean Won/
Won na Cóiré Theas","Mexican Peso/
Peso na Meicsiceo","Malaysian Ringgit/
Ringgit na Malaeisia","New Zealand Dollar/
Dollar na Nua-Shéalainne","Philippine Peso/
Peso na nOileán Filipíneach","Singapore Dollar/
Dollar Singeapóir","Thai Baht/
Baht na Téalainne","South African Rand/
Rand na hAfraice Theas"
,,USD,JPY,BGN,CZK,DKK,EEK,ILS,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
,8 Sep 20,1.1785,125.20,1.9558,26.521,7.4407,,3.9974,0.90453,361.37,,,4.4483,4.8595,10.3735,,1.0820,165.30,10.6713,7.5330,90.0213,8.8202,1.6286,6.3427,1.5523,8.0658,9.1338,17512.55,87.1060,1402.14,25.7685,4.9126,1.7722,57.333,1.6149,37.082,20.0033
,9 Sep 20,1.1773,125.05,1.9558,26.519,7.4403,,4.0042,0.91213,357.70,,,4.4498,4.8588,10.3620,,1.0806,165.80,10.7150,7.5370,89.3613,8.8240,1.6264,6.2785,1.5563,8.0584,9.1246,17406.38,86.6065,1397.84,25.5626,4.9111,1.7714,57.276,1.6118,36.928,19.7044
,10 Sep 20,1.1849,125.76,1.9558,26.585,7.4404,,4.0455,0.91590,357.85,,,4.4525,4.8579,10.3703,,1.0766,163.70,10.6870,7.5370,88.8900,8.8371,1.6282,6.2919,1.5586,8.1022,9.1834,17714.00,87.0340,1405.84,25.3147,4.9339,1.7737,57.592,1.6199,37.046,19.8598
,11 Sep 20,1.1854,125.82,1.9558,26.566,7.4402,,4.1004,0.92408,357.13,,,4.4467,4.8584,10.3713,,1.0777,161.80,10.7028,7.5390,88.7275,8.8565,1.6244,6.2561,1.5622,8.1043,9.1871,17772.61,87.2431,1407.07,25.2387,4.9224,1.7738,57.551,1.6200,37.139,19.8527
,14 Sep 20,1.1876,125.82,1.9558,26.660,7.4398,,4.0807,0.92190,357.65,,,4.4504,4.8580,10.4178,,1.0768,160.00,10.6933,7.5368,89.5924,8.8997,1.6327,6.3109,1.5641,8.0987,9.2041,17671.49,87.3415,1404.73,25.1792,4.9232,1.7739,57.587,1.6207,37.172,19.7876
,15 Sep 20,1.1892,125.39,1.9558,26.827,7.4396,,4.0675,0.92095,357.68,,,4.4461,4.8578,10.4040,,1.0768,160.60,10.6963,7.5375,89.1013,8.9023,1.6219,6.2272,1.5634,8.0526,9.2164,17653.67,87.5205,1400.73,24.9307,4.9120,1.7675,57.509,1.6163,37.079,19.5669
,16 Sep 20,1.1869,124.72,1.9558,26.726,7.4396,,4.0589,0.91423,358.54,,,4.4466,4.8590,10.4118,,1.0753,160.60,10.6608,7.5415,88.8038,8.8980,1.6174,6.2211,1.5628,8.0229,9.1985,17607.66,87.2665,1390.72,24.9614,4.9025,1.7586,57.398,1.6110,36.913,19.3726
,17 Sep 20,1.1797,123.38,1.9558,26.747,7.4396,,4.0382,0.91530,361.16,,,4.4579,4.8600,10.4080,,1.0742,162.20,10.7238,7.5418,88.6075,8.9037,1.6152,6.2117,1.5567,7.9861,9.1428,17501.07,86.8610,1383.16,24.8461,4.8822,1.7533,57.167,1.6039,36.801,19.2673
,18 Sep 20,1.1833,123.49,1.9558,26.727,7.4403,,4.0511,0.91318,360.78,,,4.4602,4.8580,10.3990,,1.0776,160.80,10.7538,7.5415,89.1439,8.9600,1.6242,6.2176,1.5601,8.0146,9.1707,17435.93,87.0140,1375.96,24.7344,4.8687,1.7489,57.306,1.6082,36.889,19.1520
,21 Sep 20,1.1787,122.70,1.9558,26.980,7.4408,,4.0576,0.91608,363.08,,,4.4837,4.8600,10.4055,,1.0761,161.60,10.8840,7.5413,89.9825,8.9710,1.6240,6.4262,1.5604,7.9992,9.1349,17437.00,86.6950,1372.84,25.3145,4.8592,1.7590,57.142,1.6027,36.823,19.7416
,22 Sep 20,1.1740,122.78,1.9558,27.007,7.4417,,4.0425,0.91743,362.05,,,4.4934,4.8613,10.4070,,1.0748,162.00,10.9528,7.5443,89.1500,8.9850,1.6288,6.3677,1.5631,7.9550,9.0986,17357.59,86.2620,1363.87,25.1194,4.8539,1.7630,56.898,1.5998,36.840,19.5779
,23 Sep 20,1.1692,122.91,1.9558,26.965,7.4429,,4.0386,0.91885,365.01,,,4.5001,4.8686,10.4388,,1.0773,161.40,10.9938,7.5505,89.7875,8.9920,1.6439,6.4498,1.5594,7.9433,9.0614,17375.00,85.9845,1362.80,25.8339,4.8574,1.7756,56.778,1.5989,36.841,19.9607
,24 Sep 20,1.1645,122.73,1.9558,27.015,7.4425,,4.0505,0.91228,364.45,,,4.5293,4.8755,10.5793,,1.0772,161.80,11.1023,7.5530,89.8713,8.8851,1.6539,6.4935,1.5600,7.9527,9.0250,17339.41,86.1145,1367.55,26.1062,4.8542,1.7847,56.547,1.6029,36.821,19.8675
,25 Sep 20,1.1634,122.74,1.9558,27.107,7.4465,,4.0528,0.91343,363.16,,,4.5557,4.8753,10.6285,,1.0798,161.80,11.1445,7.5490,90.4050,8.8709,1.6548,6.4560,1.5560,7.9451,9.0165,17299.76,85.7175,1367.57,26.0006,4.8485,1.7756,56.431,1.6022,36.781,19.9000
,28 Sep 20,1.1670,123.02,1.9558,27.133,7.4459,,4.0474,0.90508,364.12,,,4.5502,4.8743,10.5863,,1.0816,162.40,11.0580,7.5500,91.8152,9.1073,1.6513,6.4552,1.5620,7.9510,9.0443,17388.30,86.0255,1364.72,25.9525,4.8728,1.7791,56.612,1.6028,36.965,19.8905
,29 Sep 20,1.1702,123.61,1.9558,27.148,7.4461,,4.0421,0.90963,365.70,,,4.5435,4.8721,10.5343,,1.0795,162.00,11.0543,7.5510,92.1625,9.1649,1.6412,6.6022,1.5655,7.9777,9.0691,17419.00,86.2750,1365.89,26.0452,4.8639,1.7749,56.695,1.6018,36.988,19.8685
,30 Sep 20,1.1708,123.76,1.9558,27.233,7.4462,,4.0277,0.91235,365.53,,,4.5462,4.8725,10.5713,,1.0804,162.20,11.1008,7.5565,91.7763,9.0990,1.6438,6.6308,1.5676,7.9720,9.0742,17497.84,86.2990,1368.51,26.1848,4.8653,1.7799,56.774,1.6035,37.079,19.7092
,1 Oct 20,1.1752,123.98,1.9558,26.918,7.4421,,4.0236,0.90723,359.89,,,4.4935,4.8740,10.4853,,1.0787,162.20,10.9073,7.5630,90.6050,9.0606,1.6319,6.5821,1.5616,7.9805,9.1082,17423.28,85.8275,1365.03,25.6764,4.8788,1.7667,56.931,1.6004,37.101,19.5373
,2 Oct 20,1.1730,123.40,1.9558,27.020,7.4414,,4.0244,0.90673,358.88,,,4.4944,4.8715,10.4250,,1.0790,162.20,10.9040,7.5620,92.0825,9.0787,1.6372,6.6039,1.5603,7.9656,9.0910,17445.33,86.0375,1364.68,25.6582,4.8850,1.7674,56.864,1.5988,36.991,19.4002
,5 Oct 20,1.1768,124.25,1.9558,27.096,7.4400,,4.0243,0.90810,358.17,,,4.4980,4.8740,10.4645,,1.0781,162.40,10.8855,7.5680,92.5353,9.1614,1.6379,6.6568,1.5614,8.0128,9.1203,17324.61,86.0870,1363.72,25.2551,4.8867,1.7703,56.961,1.6007,36.846,19.3447
,6 Oct 20,1.1795,124.58,1.9558,27.035,7.4408,,4.0193,0.91058,359.72,,,4.4872,4.8760,10.5138,,1.0781,162.80,10.8603,7.5688,91.7720,9.1625,1.6472,6.5363,1.5630,8.0111,9.1412,17379.93,86.5715,1368.49,25.1631,4.8991,1.7733,57.137,1.6032,36.795,19.4530
,7 Oct 20,1.1770,124.73,1.9558,27.064,7.4421,,4.0044,0.91413,359.25,,,4.4862,4.8748,10.4830,,1.0787,162.80,10.9313,7.5685,91.9715,9.2722,1.6500,6.5448,1.5640,7.9934,9.1219,17359.51,86.2630,1362.70,25.2609,4.8917,1.7862,56.979,1.5995,36.758,19.5793
,8 Oct 20,1.1765,124.69,1.9558,27.092,7.4423,,3.9909,0.91035,357.48,,,4.4843,4.8758,10.4468,,1.0799,162.80,10.9038,7.5680,91.0675,9.3304,1.6421,6.5832,1.5583,7.9894,9.1181,17362.20,86.1860,1355.48,25.1418,4.8854,1.7856,57.004,1.5979,36.724,19.4995
,9 Oct 20,1.1795,124.95,1.9558,27.110,7.4422,,3.9859,0.91167,356.28,,,4.4702,4.8715,10.4200,,1.0773,162.80,10.8623,7.5765,90.9413,9.3279,1.6405,6.5796,1.5542,7.9047,9.1412,17340.01,86.1985,1350.52,25.0833,4.8808,1.7821,57.083,1.5986,36.629,19.4315
,12 Oct 20,1.1799,124.41,1.9558,27.177,7.4430,,3.9933,0.90598,356.83,,,4.4810,4.8727,10.3933,,1.0742,163.20,10.7925,7.5713,90.7650,9.2820,1.6357,6.5268,1.5493,7.9578,9.1443,17378.69,86.4760,1355.30,25.0730,4.8930,1.7744,57.268,1.6011,36.754,19.4810
,13 Oct 20,1.1787,124.38,1.9558,27.356,7.4432,,3.9895,0.90591,360.20,,,4.4851,4.8750,10.3430,,1.0734,163.20,10.7923,7.5785,90.8041,9.3155,1.6403,6.5389,1.5450,7.9388,9.1350,17403.27,86.4250,1351.00,25.0183,4.8822,1.7715,57.325,1.6007,36.676,19.4446
,14 Oct 20,1.1750,123.70,1.9558,27.313,7.4439,,3.9734,0.90395,363.49,,,4.5073,4.8738,10.3653,,1.0738,163.20,10.8218,7.5785,90.9325,9.3334,1.6378,6.5426,1.5432,7.9092,9.1063,17311.28,86.0995,1346.70,25.1075,4.8768,1.7633,57.244,1.5947,36.648,19.3897
,15 Oct 20,1.1698,123.15,1.9558,27.340,7.4429,,3.9734,0.90535,364.58,,,4.5518,4.8765,10.3780,,1.0697,163.20,10.9678,7.5818,91.4345,9.2868,1.6554,6.5942,1.5453,7.8756,9.0660,17278.41,85.9510,1344.08,25.1559,4.8599,1.7762,57.056,1.5935,36.574,19.5329
,16 Oct 20,1.1741,123.59,1.9558,27.279,7.4420,,3.9673,0.90915,364.36,,,4.5558,4.8763,10.3593,,1.0721,163.20,10.9570,7.5820,91.5767,9.3300,1.6555,6.6054,1.5497,7.8639,9.0993,17317.86,86.0715,1341.16,24.8720,4.8708,1.7746,57.148,1.5942,36.608,19.3867
,19 Oct 20,1.1785,124.11,1.9558,27.346,7.4410,,3.9836,0.90588,365.05,,,4.5723,4.8768,10.3578,,1.0724,163.40,10.9470,7.5825,91.4401,9.3057,1.6575,6.6139,1.5523,7.8767,9.1334,17347.64,86.3945,1341.33,24.8118,4.8819,1.7751,57.231,1.5990,36.746,19.3806
,20 Oct 20,1.1810,124.79,1.9558,27.233,7.4425,,3.9911,0.91329,365.68,,,4.5809,4.8761,10.3805,,1.0724,164.00,10.9698,7.5826,92.0238,9.3301,1.6801,6.6182,1.5577,7.8918,9.1528,17373.10,86.8465,1346.35,25.0315,4.9017,1.8006,57.333,1.6036,36.965,19.5245
,21 Oct 20,1.1852,124.27,1.9558,27.185,7.4432,,4.0140,0.90754,364.01,,,4.5740,4.8758,10.3645,,1.0715,164.60,10.9315,7.5755,91.4095,9.3084,1.6733,6.6118,1.5557,7.8879,9.1854,17342.44,87.3745,1343.08,24.9348,4.9115,1.7875,57.539,1.6067,37.026,19.4374
,22 Oct 20,1.1821,123.72,1.9558,27.230,7.4409,,3.9983,0.90273,364.60,,,4.5783,4.8740,10.3740,,1.0726,164.60,10.9325,7.5788,90.8256,9.3815,1.6644,6.6389,1.5559,7.8980,9.1614,17426.16,87.1120,1341.66,24.9990,4.8992,1.7739,57.467,1.6043,37.000,19.2759
,23 Oct 20,1.1856,124.17,1.9558,27.222,7.4407,,4.0032,0.90675,364.17,,,4.5823,4.8740,10.3618,,1.0715,164.90,10.9178,7.5778,90.6421,9.4418,1.6578,6.6052,1.5563,7.9157,9.1885,17410.24,87.3245,1338.52,24.7530,4.9291,1.7703,57.388,1.6089,37.056,19.1905
,26 Oct 20,1.1819,124.14,1.9558,27.295,7.4412,,3.9965,0.90755,365.02,,,4.5799,4.8748,10.3475,,1.0719,165.30,10.9465,7.5780,90.2935,9.5593,1.6592,6.6714,1.5580,7.9342,9.1598,17390.95,87.5485,1338.31,24.8705,4.9220,1.7677,57.205,1.6095,36.970,19.2080
,27 Oct 20,1.1832,123.74,1.9558,27.337,7.4406,,4.0021,0.90718,365.41,,,4.5842,4.8765,10.3060,,1.0732,165.30,10.8398,7.5745,90.5710,9.6466,1.6585,6.6711,1.5589,7.9345,9.1699,17344.17,87.1635,1332.89,24.6622,4.9274,1.7639,57.157,1.6078,36.940,19.0620
,28 Oct 20,1.1727,122.36,1.9558,27.422,7.4435,,3.9794,0.90662,367.11,,,4.6202,4.8768,10.3710,,1.0693,164.80,10.9693,7.5778,92.3025,9.6906,1.6603,6.7191,1.5578,7.8845,9.0885,17288.41,86.8040,1332.51,24.9759,4.8732,1.7647,56.708,1.6014,36.659,19.2187
,29 Oct 20,1.1704,122.09,1.9558,27.368,7.4462,,3.9993,0.90430,368.00,,,4.6225,4.8751,10.4225,,1.0684,165.00,11.1495,7.5730,93.0481,9.7418,1.6673,6.7680,1.5658,7.8531,9.0735,17306.12,87.0865,1326.92,25.0028,4.8648,1.7677,56.685,1.5988,36.598,19.2322
,30 Oct 20,1.1698,122.36,1.9558,27.251,7.4466,,3.9881,0.90208,367.45,,,4.6222,4.8725,10.3650,,1.0698,164.40,11.0940,7.5748,92.4606,9.7940,1.6563,6.7607,1.5556,7.8158,9.0706,17108.33,87.1115,1324.20,24.8416,4.8588,1.7565,56.635,1.5952,36.439,19.0359
,2 Nov 20,1.1652,121.93,1.9558,27.131,7.4455,,3.9681,0.90053,366.24,,,4.6018,4.8674,10.3625,,1.0695,163.50,11.1128,7.5695,93.7450,9.8332,1.6533,6.6916,1.5466,7.7962,9.0327,17064.82,86.7555,1320.61,24.7327,4.8443,1.7565,56.407,1.5903,36.249,18.8972
,3 Nov 20,1.1702,122.56,1.9558,26.913,7.4462,,3.9970,0.90042,363.82,,,4.5680,4.8675,10.3835,,1.0709,163.70,11.0103,7.5595,92.8975,9.9840,1.6406,6.6742,1.5385,7.8198,9.0694,16946.31,87.0695,1323.74,24.7581,4.8634,1.7531,56.584,1.5931,36.329,18.7681
,4 Nov 20,1.1721,122.31,1.9558,26.781,7.4466,,3.9976,0.89954,362.42,,,4.5368,4.8675,10.3520,,1.0675,164.10,10.9583,7.5530,92.4670,9.9037,1.6346,6.6760,1.5411,7.8038,9.0872,16892.54,87.1955,1327.24,24.6474,4.8853,1.7541,56.717,1.5926,36.370,18.8090
,5 Nov 20,1.1855,122.86,1.9558,26.766,7.4467,,4.0035,0.90450,357.83,,,4.5134,4.8648,10.2770,,1.0724,163.70,10.8500,7.5518,91.7450,9.9980,1.6356,6.5906,1.5478,7.8331,9.1922,16901.14,87.7405,1330.68,24.5016,4.9169,1.7540,57.218,1.6014,36.525,18.6894
,6 Nov 20,1.1870,122.66,1.9558,26.667,7.4493,,4.0076,0.90430,359.02,,,4.5263,4.8670,10.2805,,1.0682,163.50,10.9203,7.5590,92.4200,10.1489,1.6359,6.6072,1.5525,7.8468,9.2030,16943.12,88.0085,1332.60,24.6840,4.9005,1.7507,57.192,1.5999,36.287,18.6933
,9 Nov 20,1.1883,124.67,1.9558,26.475,7.4476,,3.9926,0.90224,356.98,,,4.4670,4.8655,10.1970,,1.0778,163.10,10.7101,7.5640,90.1763,9.5786,1.6234,6.2447,1.5388,7.8475,9.2128,16710.47,87.6380,1321.43,23.8949,4.8821,1.7378,57.213,1.5950,36.101,18.1305
,10 Nov 20,1.1808,124.36,1.9558,26.431,7.4445,,3.9884,0.89183,357.36,,,4.4990,4.8667,10.2000,,1.0817,162.30,10.6618,7.5625,90.2297,9.7675,1.6237,6.3563,1.5393,7.8107,9.1568,16590.24,87.6665,1318.93,24.1004,4.8655,1.7304,57.050,1.5926,35.825,18.3507
,11 Nov 20,1.1766,124.07,1.9558,26.447,7.4432,,3.9811,0.88935,356.02,,,4.4873,4.8672,10.1748,,1.0793,162.90,10.6773,7.5635,90.1050,9.2823,1.6172,6.3835,1.5364,7.7943,9.1241,16674.19,87.5620,1311.14,24.0319,4.8588,1.7112,57.052,1.5878,35.686,18.4320
,12 Nov 20,1.1791,124.25,1.9558,26.465,7.4459,,3.9847,0.89765,355.20,,,4.4886,4.8683,10.1825,,1.0805,162.10,10.7658,7.5715,91.2463,9.1207,1.6263,6.3638,1.5443,7.8105,9.1429,16747.23,88.0660,1314.39,24.2625,4.8703,1.7196,57.175,1.5921,35.715,18.4908
,13 Nov 20,1.1815,123.88,1.9558,26.461,7.4468,,3.9790,0.89683,355.71,,,4.4888,4.8698,10.2537,,1.0805,161.90,10.8123,7.5720,91.6113,9.1303,1.6300,6.4508,1.5528,7.8071,9.1608,16741.86,88.1860,1311.84,24.2239,4.8707,1.7304,56.954,1.5934,35.646,18.4068
,16 Nov 20,1.1830,124.15,1.9558,26.353,7.4480,,3.9733,0.89819,358.16,,,4.4692,4.8728,10.2538,,1.0819,161.30,10.7310,7.5670,90.5157,9.1749,1.6226,6.3930,1.5476,7.7945,9.1725,16680.89,88.0795,1310.50,23.9849,4.8710,1.7227,56.983,1.5934,35.750,18.2346
,17 Nov 20,1.1882,123.78,1.9558,26.508,7.4480,,3.9945,0.89585,361.50,,,4.4694,4.8720,10.2375,,1.0816,161.50,10.7683,7.5668,90.7340,9.2071,1.6236,6.4375,1.5516,7.7892,9.2119,16779.76,88.4825,1314.74,24.2129,4.8770,1.7234,57.389,1.5962,35.836,18.3062
,18 Nov 20,1.1868,123.28,1.9558,26.401,7.4516,,3.9742,0.89373,360.25,,,4.4694,4.8730,10.2135,,1.0812,161.50,10.7115,7.5670,90.0610,9.1560,1.6226,6.2974,1.5514,7.7820,9.2005,16746.93,88.0110,1310.55,24.0105,4.8510,1.7145,57.267,1.5917,35.984,18.2814
,19 Nov 20,1.1832,123.08,1.9558,26.358,7.4498,,3.9595,0.89378,360.90,,,4.4714,4.8732,10.2060,,1.0797,161.30,10.6900,7.5655,90.2638,8.9373,1.6272,6.3371,1.5501,7.7927,9.1737,16820.13,87.7970,1321.07,24.0426,4.8517,1.7155,57.147,1.5924,35.975,18.3153
,20 Nov 20,1.1863,123.18,1.9558,26.340,7.4489,,3.9608,0.89393,359.50,,,4.4639,4.8735,10.2168,,1.0811,161.30,10.6613,7.5665,90.2622,9.0470,1.6227,6.3347,1.5484,7.7916,9.1972,16840.24,87.9410,1323.26,23.8656,4.8549,1.7086,57.206,1.5934,35.922,18.2192
,23 Nov 20,1.1901,123.47,1.9558,26.311,7.4472,,3.9747,0.88888,360.21,,,4.4735,4.8740,10.2145,,1.0806,161.10,10.6903,7.5615,90.3507,9.2636,1.6233,6.3795,1.5530,7.8178,9.2257,16844.67,88.1040,1323.33,23.7978,4.8681,1.7082,57.339,1.5955,36.048,18.2466
,24 Nov 20,1.1865,124.06,1.9558,26.258,7.4424,,3.9610,0.89012,361.35,,,4.4666,4.8728,10.2040,,1.0833,160.90,10.6768,7.5610,90.1119,9.4452,1.6175,6.3943,1.5504,7.8152,9.1970,16895.40,87.9045,1318.77,23.8129,4.8498,1.7011,57.233,1.5941,36.070,18.2206
,25 Nov 20,1.1890,124.19,1.9558,26.175,7.4419,,3.9528,0.89129,361.13,,,4.4679,4.8735,10.1358,,1.0835,160.90,10.5488,7.5595,90.0123,9.4850,1.6190,6.3650,1.5478,7.8189,9.2161,16812.46,87.8540,1315.62,23.8614,4.8600,1.7036,57.227,1.5965,36.080,18.1480
,26 Nov 20,1.1900,124.04,1.9558,26.138,7.4420,,3.9538,0.89129,361.18,,,4.4749,4.8743,10.1568,,1.0813,161.30,10.5705,7.5552,90.1153,9.3878,1.6163,6.3494,1.5472,7.8254,9.2235,16843.08,87.8655,1318.24,23.8479,4.8403,1.7000,57.257,1.5930,36.057,18.1098
,27 Nov 20,1.1922,124.23,1.9558,26.213,7.4415,,3.9557,0.89442,362.32,,,4.4907,4.8736,10.1723,,1.0826,159.00,10.5630,7.5577,90.9894,9.3286,1.6182,6.4021,1.5497,7.8422,9.2404,16868.74,88.3015,1318.04,23.9402,4.8517,1.7000,57.375,1.5955,36.148,18.2657
,30 Nov 20,1.1980,124.79,1.9558,26.192,7.4412,,3.9644,0.89845,359.59,,,4.4710,4.8732,10.1778,,1.0839,159.06,10.5610,7.5538,91.1439,9.3155,1.6246,6.3519,1.5516,7.8798,9.2862,16966.44,88.7322,1326.08,24.0499,4.8807,1.7027,57.690,1.6029,36.257,18.4251
,1 Dec 20,1.1968,124.92,1.9558,26.235,7.4441,,3.9541,0.89798,357.20,,,4.4788,4.8710,10.2135,,1.0836,158.20,10.6028,7.5515,90.7837,9.4122,1.6274,6.3573,1.5522,7.8639,9.2774,16981.99,88.1535,1326.72,24.0465,4.8835,1.7010,57.598,1.6048,36.215,18.3311
,2 Dec 20,1.2066,126.13,1.9558,26.411,7.4438,,3.9705,0.90490,357.40,,,4.4783,4.8714,10.2813,,1.0819,155.40,10.7003,7.5520,91.3194,9.4570,1.6384,6.2962,1.5619,7.9203,9.3535,17145.18,88.9695,1330.20,24.2499,4.9199,1.7137,57.984,1.6176,36.500,18.5579
,3 Dec 20,1.2151,126.49,1.9558,26.420,7.4439,,3.9740,0.90358,357.63,,,4.4733,4.8730,10.3025,,1.0831,153.00,10.7070,7.5470,90.8441,9.5021,1.6361,6.3037,1.5692,7.9567,9.4188,17181.51,89.7090,1325.91,24.1384,4.9453,1.7175,58.299,1.6228,36.660,18.5475
,4 Dec 20,1.2159,126.44,1.9558,26.518,7.4429,,3.9720,0.90282,358.57,,,4.4769,4.8725,10.2578,,1.0822,152.10,10.6598,7.5415,90.0679,9.4636,1.6387,6.2759,1.5633,7.9421,9.4240,17222.37,89.6755,1320.60,24.1091,4.9366,1.7254,58.430,1.6206,36.672,18.4674
,7 Dec 20,1.2128,126.30,1.9558,26.482,7.4433,,3.9562,0.91215,359.49,,,4.4670,4.8735,10.2018,,1.0802,152.70,10.6328,7.5400,89.7900,9.5053,1.6374,6.2124,1.5537,7.9310,9.3999,17214.85,89.6285,1316.88,24.0901,4.9385,1.7252,58.421,1.6212,36.669,18.4244
,8 Dec 20,1.2114,126.18,1.9558,26.398,7.4436,,3.9414,0.91143,360.10,,,4.4663,4.8728,10.2358,,1.0781,152.90,10.6283,7.5403,88.7640,9.4870,1.6334,6.1906,1.5508,7.9115,9.3895,17134.16,89.2030,1314.53,24.0683,4.9328,1.7220,58.359,1.6209,36.415,18.2159
,9 Dec 20,1.2109,126.05,1.9558,26.239,7.4429,,3.9406,0.90000,356.64,,,4.4246,4.8685,10.2745,,1.0764,153.50,10.5763,7.5490,89.1670,9.4762,1.6185,6.1993,1.5472,7.9167,9.3866,17078.00,89.2120,1314.27,23.9187,4.9196,1.7103,58.298,1.6174,36.388,18.0756
,10 Dec 20,1.2115,126.53,1.9558,26.307,7.4423,,3.9367,0.91100,355.24,,,4.4268,4.8695,10.2395,,1.0757,154.30,10.7000,7.5455,88.8661,9.5260,1.6161,6.1606,1.5456,7.9254,9.3908,17088.21,89.2515,1318.52,24.0863,4.9199,1.7184,58.302,1.6202,36.418,18.1755
,11 Dec 20,1.2127,126.28,1.9558,26.328,7.4429,,3.9469,0.92294,354.81,,,4.4358,4.8698,10.2560,,1.0786,154.80,10.6968,7.5375,88.7373,9.5678,1.6090,6.1448,1.5487,7.9386,9.3999,17074.82,89.4705,1325.32,24.4157,4.9133,1.7100,58.339,1.6213,36.496,18.3435
,14 Dec 20,1.2162,126.11,1.9558,26.317,7.4421,,3.9614,0.90700,353.63,,,4.4373,4.8707,10.1930,,1.0776,155.00,10.5833,7.5290,88.7888,9.5728,1.6064,6.1237,1.5476,7.9588,9.4274,17216.41,89.4505,1327.50,24.3753,4.9299,1.7101,58.417,1.6202,36.583,18.2339
,15 Dec 20,1.2140,126.08,1.9558,26.361,7.4427,,3.9515,0.90795,355.32,,,4.4426,4.8688,10.1928,,1.0770,154.80,10.6140,7.5262,89.4183,9.5295,1.6113,6.1783,1.5473,7.9462,9.4110,17196.01,89.3400,1327.69,24.4905,4.9222,1.7174,58.334,1.6195,36.467,18.1409
,16 Dec 20,1.2189,125.97,1.9558,26.200,7.4415,,3.9663,0.89950,355.52,,,4.4354,4.8688,10.1785,,1.0786,155.20,10.5788,7.5373,89.4535,9.5219,1.6103,6.2306,1.5551,7.9633,9.4489,17259.87,89.7730,1332.90,24.2123,4.9384,1.7168,58.605,1.6203,36.616,18.1175
,17 Dec 20,1.2246,126.19,1.9558,26.204,7.4398,,3.9785,0.90050,355.27,,,4.4423,4.8695,10.1335,,1.0821,155.40,10.5015,7.5315,89.3049,9.4828,1.6052,6.2136,1.5546,8.0006,9.4939,17293.80,90.1160,1338.48,24.2407,4.9419,1.7093,58.799,1.6227,36.554,17.9820
,18 Dec 20,1.2259,126.69,1.9558,26.139,7.4393,,3.9676,0.90828,357.24,,,4.4779,4.8688,10.1333,,1.0845,156.40,10.5163,7.5328,90.2025,9.3988,1.6107,6.2668,1.5638,8.0146,9.5039,17337.60,90.1170,1346.95,24.3280,4.9532,1.7201,58.930,1.6282,36.556,17.8699
,21 Dec 20,1.2173,126.04,1.9558,26.275,7.4401,,3.9564,0.91610,360.93,,,4.5111,4.8603,10.1313,,1.0810,156.60,10.6518,7.5375,91.7285,9.3519,1.6200,6.3144,1.5686,7.9784,9.4378,17351.52,90.1338,1350.52,24.8514,4.9313,1.7306,58.833,1.6286,36.653,18.0849
,22 Dec 20,1.2239,126.52,1.9558,26.303,7.4401,,3.9621,0.91148,362.33,,,4.5116,4.8665,10.1143,,1.0837,156.10,10.5938,7.5420,92.2025,9.3325,1.6191,6.2842,1.5753,8.0056,9.4885,17410.10,90.3975,1353.44,24.4948,4.9703,1.7299,58.870,1.6327,36.901,17.8544
,23 Dec 20,1.2166,125.99,1.9558,26.372,7.4380,,3.9193,0.90700,362.65,,,4.5025,4.8710,10.1213,,1.0837,155.90,10.6238,7.5440,91.6360,9.2946,1.6118,6.2867,1.5671,7.9549,9.4321,17351.03,89.7945,1347.45,24.4449,4.9437,1.7208,58.453,1.6235,36.772,17.7895
,24 Dec 20,1.2193,126.38,1.9558,26.299,7.4389,,3.9221,0.89795,361.62,,,4.5022,4.8725,10.0763,,1.0851,155.90,10.5108,7.5461,90.5914,9.2275,1.6039,6.3608,1.5656,7.9624,9.4532,17314.06,89.6845,1344.97,24.3475,4.9510,1.7168,58.559,1.6195,36.689,17.8252
